,gene,UniProtID,pDesc,pLength,pMass,subLoc,abundanceLevel,avgCopyN
8744,TFB1M,Q8WVM0,"Dimethyladenosine transferase 1, mitochondrial",346,39543,Mitochondrion,High,
8745,TFB2M,Q9H5Q4,"Dimethyladenosine transferase 2, mitochondrial",396,45349,Mitochondrion,High,
8746,TFCP2,Q12800,Alpha-globin transcription factor CP2,502,57256,Nucleus,Medium,13779.498207149089
8747,TFDP1,Q14186,Transcription factor Dp-1,410,45070,Nucleus; Cytoplasm,Low  ,
8748,TFDP2,Q14188,Transcription factor Dp-2,446,49236,Nucleus,Low  ,
8749,TFE3,P19532,Transcription factor E3,575,61521,"Cytoplasm, cytosol; Nucleus",Low  ,
8750,TFG,Q92734,Protein TFG,400,43448,Endoplasmic reticulum,High,122474.79654558233
8751,TFIP11,Q9UBB9,Tuftelin-interacting protein 11,837,96820,Cytoplasm; Nucleus,Low,1214.7487384979183
8752,TFPI2,P48307,Tissue factor pathway inhibitor 2,235,26934,Secreted,Low  ,
8753,TFPT,P0C1Z6,TCF3 fusion partner,253,28278,Nucleus,Medium,
8754,TFRC,P02786,Transferrin receptor protein 1,760,84871,"Cell membrane; Melanosome.;[Transferrin receptor protein 1, serum form]: Secreted",Medium,20739.21288132447
8755,TGFB1,P01137,Transforming growth factor beta-1 proprotein,390,44341,"[Latency-associated peptide]: Secreted, extracellular space, extracellular matrix.;[Transforming growth factor beta-1]: Secreted",Very Low,
8756,TGFB1I1,O43294,Transforming growth factor beta-1-induced transcript 1 protein,461,49814,"Cell junction, focal adhesion; Nucleus matrix; Cytoplasm, cytoskeleton",Very Low,
8757,TGFB2,P61812,Transforming growth factor beta-2 proprotein,414,47748,"[Latency-associated peptide]: Secreted, extracellular space, extracellular matrix.;[Transforming growth factor beta-2]: Secreted",Low,4794.515869994995
8758,TGFBI,Q15582,Transforming growth factor-beta-induced protein ig-h3,683,74681,"Secreted; Secreted, extracellular space, extracellular matrix",Low,1429.9316205650566
8759,TGFBR1,P36897,TGF-beta receptor type-1,503,55960,"Cell membrane; Cell junction, tight junction; Cell surface; Membrane raft",Low  ,2474.247503967776
8760,TGFBRAP1,Q8WUH2,Transforming growth factor-beta receptor-associated protein 1,860,97158,Cytoplasm; Early endosome,Low  ,942.0029843408424
8761,TGM1,P22735,Protein-glutamine gamma-glutamyltransferase K,817,89787,Membrane,Very Low,
8762,TGOLN2,O43493,Trans-Golgi network integral membrane protein 2,437,45880,"Cell membrane; Single-pass type I membrane protein; Golgi apparatus, trans-Golgi network membrane; Single-pass type I membrane protein",Low,7954.669803672183
8763,TGS1,Q96RS0,Trimethylguanosine synthase,853,96620,"Cytoplasm; Nucleus, Cajal body; Nucleus, nucleolus",Medium,
8764,THADA,Q6YHU6,Thyroid adenoma-associated protein,1953,219607,Cytoplasm,Very Low,99.12286855528308
8765,THAP11,Q96EK4,THAP domain-containing protein 11,314,34455,Nucleus; Cytoplasm,Very Low,658.7216645436501
8766,THAP12,O43422,52 kDa repressor of the inhibitor of the protein kise,761,87704,,Medium,
8767,THAP4,Q8WY91,Peroxynitrite isomerase THAP4 (EC 5.99.-.-) (Ferric Homo sapiens nitrobindin) (Hs-Nb(III)) (THAP domain-containing protein 4),577,62890,Cytoplasm; Nucleus,Low  ,
8768,THAP9,Q9H5L6,D transposase THAP9,903,103411,,Very Low,
8769,THBS1,P07996,Thrombospondin-1,1170,129383,"Secreted; Cell surface; Secreted, extracellular space, extracellular matrix; Endoplasmic reticulum; Sarcoplasmic reticulum",Very Low,125.89627126692301
8770,THBS2,P35442,Thrombospondin-2,1172,129991,,Medium,
8771,THBS4,P35443,Thrombospondin-4,961,105869,"Endoplasmic reticulum; Sarcoplasmic reticulum; Secreted; Secreted, extracellular space; Secreted, extracellular space, extracellular matrix",Very Low,
8772,THEM4,Q5T1C6,Acyl-coenzyme A thioesterase THEM4,240,27130,"Cell membrane; Cell projection, ruffle membrane; Cytoplasm; Mitochondrion; Mitochondrion inner membrane; Peripheral membrane protein; Mitochondrion intermembrane space",Medium,
8773,THEM6,Q8WUY1,Protein THEM6,208,23865,Secreted,Medium,9420.370847277805
8774,THEMIS2,Q5TEJ8,Protein THEMIS2,643,72049,Nucleus; Cytoplasm,Low  ,
8775,THG1L,Q9NWX6,Probable tR(His) guanylyltransferase,298,34831,Cytoplasm; Mitochondrion outer membrane,Medium,
8776,THNSL1,Q8IYQ7,Threonine synthase-like 1,743,83070,,Low,4752.344402540762
8777,THOC1,Q96FV9,THO complex subunit 1,657,75666,"[Isoform 1]: Nucleus speckle; Nucleus, nucleoplasm; Nucleus matrix; Cytoplasm",Low,4885.209559673675
8778,THOC2,Q8NI27,THO complex subunit 2,1593,182775,Nucleus; Nucleus speckle,Medium,10695.945955468864
8779,THOC3,Q96J01,THO complex subunit 3,351,38772,Nucleus; Nucleus speckle,Medium,31911.701334848218
8780,THOC5,Q13769,THO complex subunit 5 homolog,683,78508,Nucleus; Cytoplasm,Low,1803.9542527377896
8781,THOC6,Q86W42,THO complex subunit 6 homolog,341,37535,Nucleus; Nucleus speckle,Medium,20805.389477357716
8782,THOC7,Q6I9Y2,THO complex subunit 7 homolog,204,23743,Cytoplasm; Nucleus; Nucleus speckle,Low,7585.016351215401
8783,THOP1,P52888,Thimet oligopeptidase,689,78840,Cytoplasm,Medium,26106.396388718968
8784,THRAP3,Q9Y2W1,Thyroid hormone receptor-associated protein 3,955,108666,"Nucleus; Nucleus, nucleoplasm; Nucleus speckle",High,106857.8118277
8785,THSD7A,Q9UPZ6,Thrombospondin type-1 domain-containing protein 7A,1657,185363,"[Thrombospondin type-1 domain-containing protein 7A]: Cell membrane; Cell projection.;[Thrombospondin type-1 domain-containing protein 7A, soluble form]: Secreted",Low  ,1710.4572022201903
8786,THSD7B,Q9C0I4,Thrombospondin type-1 domain-containing protein 7B,1606,179199,Membrane,Very Low,
8787,THTPA,Q9BU02,Thiamine-triphosphatase,230,25566,Cytoplasm,High,
8788,THUMPD1,Q9NXG2,THUMP domain-containing protein 1,353,39315,,High,70169.90507788619
8789,THUMPD2,Q9BTF0,THUMP domain-containing protein 2,503,56433,,Medium,
8790,THUMPD3,Q9BV44,tR (guanine(6)-N2)-methyltransferase THUMP3,507,57003,Cytoplasm,Low,3846.5322622054923
8791,THY1,P04216,Thy-1 membrane glycoprotein,161,17935,Cell membrane,High,112291.00527549465
8792,THYN1,Q9P016,Thymocyte nuclear protein 1,225,25697,Nucleus,Medium,44508.03001400619
8793,TIA1,P31483,Cytotoxic granule associated R binding protein TIA1,386,42963,"Nucleus; Cytoplasm; Cytoplasm, Stress granule",High,102776.95826391585
8794,TIAL1,Q01085,Nucleolysin TIAR,375,41591,"Nucleus; Cytoplasm; Cytolytic granule; Cytoplasm, Stress granule",Medium,27699.297684966084
8795,TIAM1,Q13009,Rho guanine nucleotide exchange factor TIAM1,1591,177508,Cell junction; Cell membrane; Peripheral membrane protein; Cytoplasmic side,Very Low,568.6686700758255
8796,TIFA,Q96CG3,TRAF-interacting protein with FHA domain-containing protein A,184,21445,Cytoplasm,Medium,
8797,TIGAR,Q9NQ88,"Fructose-2,6-bisphosphatase TIGAR",270,30063,Cytoplasm; Nucleus; Mitochondrion,High,45807.99388779347
8798,TIGD1,Q96MW7,Tigger transposable element-derived protein 1,591,67299,Nucleus,Medium,
8799,TIGD2,Q4W5G0,Tigger transposable element-derived protein 2,525,59623,Nucleus,Very Low,
8800,TIGD7,Q6NT04,Tigger transposable element-derived protein 7,549,63236,Nucleus,Low  ,
8801,TIMELESS,Q9UNS1,Protein timeless homolog,1208,138658,Nucleus; Chromosome,Low,1026.8350380841773
8802,TIMM10,P62072,Mitochondrial import inner membrane translocase subunit Tim10,90,10333,Mitochondrion inner membrane,High,57563.168828911424
8803,TIMM10B,Q9Y5J6,Mitochondrial import inner membrane translocase subunit Tim10 B,103,11586,Mitochondrion inner membrane,Medium,
8804,TIMM13,Q9Y5L4,Mitochondrial import inner membrane translocase subunit Tim13,95,10500,Mitochondrion inner membrane,High,120462.18861577357
8805,TIMM17A,Q99595,Mitochondrial import inner membrane translocase subunit Tim17-A,171,18024,Mitochondrion inner membrane; Multi-pass membrane protein,Very Low,
8806,TIMM17B,O60830,Mitochondrial import inner membrane translocase subunit Tim17-B,172,18273,Mitochondrion inner membrane; Multi-pass membrane protein,High,37535.7020583013
8807,TIMM21,Q9BVV7,Mitochondrial import inner membrane translocase subunit Tim21,248,28202,Mitochondrion membrane,Low,8263.355280768075
8808,TIMM22,Q9Y584,Mitochondrial import inner membrane translocase subunit Tim22,194,20031,Mitochondrion inner membrane,Medium,10122.173672823159
8809,TIMM23,O14925,Mitochondrial import inner membrane translocase subunit Tim23,209,21943,Mitochondrion inner membrane,Medium,28388.733488566482
8810,TIMM29,Q9BSF4,Mitochondrial import inner membrane translocase subunit Tim29,260,29233,Mitochondrion inner membrane,High,
8811,TIMM44,O43615,Mitochondrial import inner membrane translocase subunit TIM44,452,51356,Mitochondrion inner membrane; Mitochondrion matrix,High,106796.40215090982
8812,TIMM50,Q3ZCQ8,Mitochondrial import inner membrane translocase subunit TIM50,353,39646,Mitochondrion inner membrane.;[Isoform 2]: Nucleus speckle,High,75982.94959248912
8813,TIMM8A,O60220,Mitochondrial import inner membrane translocase subunit Tim8 A,97,10998,Mitochondrion inner membrane,High,77810.30687684793
8814,TIMM8B,Q9Y5J9,Mitochondrial import inner membrane translocase subunit Tim8 B,83,9344,Mitochondrion inner membrane,High,62925.3921714452
8815,TIMM9,Q9Y5J7,Mitochondrial import inner membrane translocase subunit Tim9,89,10378,Mitochondrion inner membrane,High,202868.24129888698
8816,TIMMDC1,Q9NPL8,"Complex I assembly factor TIMMDC1, mitochondrial",285,32178,Mitochondrion membrane,Low,3902.8427849905615
8817,TIMP1,P01033,Metalloproteise inhibitor 1,207,23171,Secreted,Low  ,
8818,TIMP2,P16035,Metalloproteise inhibitor 2,220,24399,Secreted,Very Low,
8819,TIMP3,P35625,Metalloproteise inhibitor 3,211,24145,"Secreted, extracellular space, extracellular matrix",Low,1845.4505906949264
8820,TINF2,Q9BSI4,TERF1-interacting nuclear factor 2,451,50023,"Nucleus; Chromosome, telomere",Low  ,
8821,TIPRL,O75663,TIP41-like protein,272,31444,Cytoplasm,High,84365.66073374414
8822,TJAP1,Q5JTD0,Tight junction-associated protein 1,557,61821,"Golgi apparatus, trans-Golgi network; Cell junction, tight junction; Cell membrane",Low  ,
8823,TJP1,Q07157,Tight junction protein ZO-1,1748,195459,"Cell membrane; Cell junction, tight junction; Cell junction; Cell junction, gap junction; Cell projection, podosome",Medium,23136.133920778437
8824,TJP2,Q9UDY2,Tight junction protein ZO-2,1190,133958,"Cell junction, adherens junction; Cell membrane; Cell junction, tight junction; Nucleus",Very Low,499.073472938573
8825,TK1,P04183,"Thymidine kise, cytosolic",234,25469,Cytoplasm,Low  ,
8826,TK2,O00142,"Thymidine kise 2, mitochondrial",265,31005,Mitochondrion,Medium,
8827,TKFC,Q3LXA3,Triokise/FMN cyclase,575,58947,,Medium,21901.235580176683
8828,TKT,P29401,Transketolase,623,67878,,High,1113542.705215611
8829,TLCD3B,Q71RH2,Ceramide synthase,274,30629,[Isoform 1]: Golgi apparatus membrane.;[Isoform 2]: Endoplasmic reticulum membrane,Low,3793.1295756801637
8830,TLCD4,Q96MV1,TLC domain-containing protein 4,263,30041,Membrane,Low  ,
8831,TLE1,Q04724,Transducin-like enhancer protein 1,770,83201,Nucleus,Medium,15451.412075493201
8832,TLE3,Q04726,Transducin-like enhancer protein 3,772,83417,Nucleus,Low,7859.191799845845
8833,TLE4,Q04727,Transducin-like enhancer protein 4,773,83755,Nucleus,Low,1031.2337658441377
8834,TLE5,Q08117,TLE family member 5,197,21970,Nucleus,Low,7007.528418272184
8835,TLK1,Q9UKI8,Serine/threonine-protein kise tousled-like 1,766,86700,Nucleus,Low  ,
8836,TLK2,Q86UE8,Serine/threonine-protein kise tousled-like 2,772,87661,"Nucleus; Nucleus, nucleoplasm; Cytoplasm, perinuclear region; Cytoplasm, cytoskeleton",Low,1170.1770771125384
8837,TLN1,Q9Y490,Talin-1,2541,269767,"Cell projection, ruffle membrane; Cytoplasm, cytoskeleton; Cell surface; Cell junction, focal adhesion",Medium,11448.659133281495
8838,TLN2,Q9Y4G6,Talin-2,2542,271613,"Cytoplasm; Cell junction, focal adhesion; Synapse; Cell membrane; Peripheral membrane protein; Cytoplasmic side; Cytoplasm, cytoskeleton",Medium,14598.09582117845
8839,TLNRD1,Q9H1K6,Talin rod domain-containing protein 1,362,37758,,Low  ,
8840,TM2D2,Q9BX73,TM2 domain-containing protein 2,214,22871,Membrane,Very Low,
8841,TM2D3,Q9BRN9,TM2 domain-containing protein 3,247,27118,Membrane,Medium,
8842,TM7SF2,O76062,Delta(14)-sterol reductase TM7SF2,418,46406,Microsome membrane; Endoplasmic reticulum membrane,Medium,19769.56789895049
8843,TM7SF3,Q9NS93,Transmembrane 7 superfamily member 3,570,64166,Cell membrane,Low  ,
8844,TM9SF1,O15321,Transmembrane 9 superfamily member 1,606,68861,"Lysosome membrane; Cytoplasmic vesicle, autophagosome membrane",Very Low,192.2618737096475
8845,TM9SF2,Q99805,Transmembrane 9 superfamily member 2,663,75776,"Endosome membrane; Golgi outpost; Cytoplasm, cytoskeleton, microtubule organizing center",Medium,23017.704428179517
8846,TM9SF3,Q9HD45,Transmembrane 9 superfamily member 3,589,67888,Membrane,Medium,23537.722189457094
8847,TM9SF4,Q92544,Transmembrane 9 superfamily member 4,642,74519,Membrane; Golgi apparatus; Early endosome,Medium,13433.527492735382
8848,TMA16,Q96EY4,Translation machinery-associated protein 16,203,23864,Nucleus,Low,2639.72064188334
8849,TMA7,Q9Y2S6,Translation machinery-associated protein 7,64,7066,,High,120877.00842313727
8850,TMBIM6,P55061,Bax inhibitor 1,237,26538,Endoplasmic reticulum membrane,Medium,
8851,TMCC1,O94876,Transmembrane and coiled-coil domains protein 1,653,72083,Endoplasmic reticulum membrane,Low,2516.8715846660216
8852,TMCC2,O75069,Transmembrane and coiled-coil domains protein 2,709,77449,Endoplasmic reticulum membrane,Very Low,518.1135402430772
8853,TMCC3,Q9ULS5,Transmembrane and coiled-coil domain protein 3,477,53785,Endoplasmic reticulum membrane,Very Low,230.36776684700897
8854,TMCO1,Q9UM00,Calcium load-activated calcium channel,239,27079,Endoplasmic reticulum membrane; Golgi apparatus membrane,High,49745.06032357333
8855,TMED1,Q13445,Transmembrane emp24 domain-containing protein 1,227,25206,"Cell membrane; Endoplasmic reticulum membrane; Golgi apparatus, cis-Golgi network membrane; Endoplasmic reticulum-Golgi intermediate compartment membrane",Low,2665.286125373737
8856,TMED10,P49755,Transmembrane emp24 domain-containing protein 10,219,24976,"Endoplasmic reticulum membrane; Endoplasmic reticulum-Golgi intermediate compartment membrane; Golgi apparatus membrane; Golgi apparatus, cis-Golgi network membrane; Golgi apparatus, trans-Golgi network membrane; Cytoplasmic vesicle, secretory vesicle membrane; Cell membrane; Melanosome",High,80166.778686992
8857,TMED2,Q15363,Transmembrane emp24 domain-containing protein 2,201,22761,"Cytoplasmic vesicle membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane; Golgi apparatus, cis-Golgi network membrane; Golgi apparatus, Golgi stack membrane; Endoplasmic reticulum membrane; Endoplasmic reticulum-Golgi intermediate compartment membrane",Medium,11159.57211363759
8858,TMED3,Q9Y3Q3,Transmembrane emp24 domain-containing protein 3,217,24777,"Endoplasmic reticulum-Golgi intermediate compartment membrane; Golgi apparatus, cis-Golgi network membrane; Golgi apparatus, Golgi stack membrane; Endoplasmic reticulum membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane",Medium,
8859,TMED4,Q7Z7H5,Transmembrane emp24 domain-containing protein 4,227,25943,Endoplasmic reticulum membrane,Medium,23150.120594694316
8860,TMED5,Q9Y3A6,Transmembrane emp24 domain-containing protein 5,229,26005,"Endoplasmic reticulum membrane; Golgi apparatus, cis-Golgi network membrane; Endoplasmic reticulum-Golgi intermediate compartment membrane",Medium,19681.064486297768
8861,TMED7,Q9Y3B3,Transmembrane emp24 domain-containing protein 7,224,25172,"Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus, cis-Golgi network membrane; Single-pass type I membrane protein; Endoplasmic reticulum-Golgi intermediate compartment membrane; Single-pass type I membrane protein; Cytoplasmic vesicle, COPI-coated vesicle membrane; Cytoplasmic vesicle, COPII-coated vesicle membrane",High,53546.72974564551
8862,TMED8,Q6PL24,Protein TMED8,325,35740,,Medium,31869.634101171803
8863,TMED9,Q9BVK6,Transmembrane emp24 domain-containing protein 9,235,27277,"Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus, cis-Golgi network membrane; Single-pass type I membrane protein; Endoplasmic reticulum-Golgi intermediate compartment membrane; Single-pass type I membrane protein; Golgi apparatus, trans-Golgi network membrane",High,104065.51251614706
8864,TMEFF1,Q8IYR6,Tomoregulin-1,380,40934,Cell membrane,High,76719.19974231327
8865,TMEFF2,Q9UIK5,Tomoregulin-2,374,41428,[Isoform 1]: Membrane.;[Isoform 2]: Membrane.;[Isoform 3]: Secreted,Medium,10089.970743376347
8866,TMEM104,Q8NE00,Transmembrane protein 104,496,55679,Membrane,Medium,
8867,TMEM106A,Q96A25,Transmembrane protein 106A,262,28920,Cell membrane,Very Low,
8868,TMEM106B,Q9NUM4,Transmembrane protein 106B,274,31127,Late endosome membrane; Lysosome membrane,Medium,21689.757759987668
8869,TMEM109,Q9BVC6,Transmembrane protein 109,243,26210,Nucleus outer membrane; Endoplasmic reticulum membrane; Sarcoplasmic reticulum membrane,Medium,11551.775735341807
8870,TMEM11,P17152,"Transmembrane protein 11, mitochondrial",192,21541,Mitochondrion inner membrane,High,55411.96231263462
8871,TMEM115,Q12893,Transmembrane protein 115,351,38197,"Golgi apparatus, Golgi stack membrane",Medium,
8872,TMEM120A,Q9BXJ8,Ion channel TACAN,343,40610,Cell membrane; Nucleus inner membrane,Low,2872.51529460576
8873,TMEM120B,A0PK00,Transmembrane protein 120B,339,40246,Nucleus inner membrane,Medium,
8874,TMEM121B,Q9BXQ6,Transmembrane protein 121B,578,58425,,Low,1702.4954295898913
8875,TMEM126A,Q9H061,Transmembrane protein 126A,195,21527,Mitochondrion inner membrane,High,51869.20547242747
8876,TMEM126B,Q8IUX1,"Complex I assembly factor TMEM126B, mitochondrial",230,25943,Mitochondrion membrane,Medium,
8877,TMEM127,O75204,Transmembrane protein 127,238,25842,Cell membrane; Cytoplasm,Low  ,
8878,TMEM128,Q5BJH2,Transmembrane protein 128,165,18822,Membrane,Low,2785.50557573267
8879,TMEM129,A0AVI4,E3 ubiquitin-protein ligase TM129,362,40464,Endoplasmic reticulum membrane,Low  ,
8880,TMEM130,Q8N3G9,Transmembrane protein 130,435,48329,Golgi apparatus membrane,Very Low,
8881,TMEM131,Q92545,Transmembrane protein 131,1883,205138,Membrane,Medium,
8882,TMEM131L,A2VDJ0,Transmembrane protein 131-like,1609,179339,Cell membrane; Cytoplasm.;[Isoform 1]: Endoplasmic reticulum.;[Isoform 5]: Cytoplasm,Low  ,
8883,TMEM132A,Q24JP5,Transmembrane protein 132A,1023,110110,Golgi apparatus membrane; Endoplasmic reticulum membrane,Medium,10284.954774797894
8884,TMEM132E,Q6IEE7,Transmembrane protein 132E,1074,116150,Membrane,Low,5948.500378830739
8885,TMEM135,Q86UB9,Transmembrane protein 135,458,52291,Mitochondrion membrane; Peroxisome membrane,Low  ,
8886,TMEM143,Q96AN5,Transmembrane protein 143,459,51715,Membrane,Medium,
8887,TMEM147,Q9BVK8,Transmembrane protein 147,224,25261,Endoplasmic reticulum membrane; Nucleus membrane; Cell membrane,High,
8888,TMEM14C,Q9P0S9,Transmembrane protein 14C,112,11565,Mitochondrion membrane,Low,1176.60522555629
8889,TMEM150C,B9EJG8,Transmembrane protein 150C,249,27887,Cell membrane; Lysosome membrane,Low  ,
8890,TMEM151B,Q8IW70,Transmembrane protein 151B,566,61506,Membrane,Low  ,
8891,TMEM160,Q9NX00,Transmembrane protein 160,188,19658,Mitochondrion inner membrane,Medium,12745.866560199176
8892,TMEM161A,Q9NX61,Transmembrane protein 161A,479,53602,Membrane,Medium,
8893,TMEM161B,Q8NDZ6,Transmembrane protein 161B,487,55482,Cell membrane,Low  ,
8894,TMEM163,Q8TC26,Transmembrane protein 163,289,31469,"Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Early endosome membrane; Late endosome membrane; Lysosome membrane; Cell membrane",High,63030.24163035658
8895,TMEM164,Q5U3C3,Transmembrane protein 164,297,33508,Membrane,Medium,
8896,TMEM165,Q9HC07,Transmembrane protein 165,324,34906,"Golgi apparatus membrane; Golgi apparatus, trans-Golgi network membrane; Lysosome membrane; Early endosome membrane; Late endosome membrane",Medium,10486.334686565366
8897,TMEM167A,Q8TBQ9,Protein kish-A,72,8060,Golgi apparatus membrane,High,35578.8888027033
8898,TMEM167B,Q9NRX6,Protein kish-B,74,8294,Golgi apparatus membrane,Medium,
8899,TMEM168,Q9H0V1,Transmembrane protein 168,697,79755,Nucleus membrane,Medium,
8900,TMEM169,Q96HH4,Transmembrane protein 169,297,33611,Membrane,Very Low,682.2595234390253
8901,TMEM17,Q86X19,Transmembrane protein 17,198,23046,"Cell projection, cilium membrane",Low  ,
8902,TMEM176A,Q96HP8,Transmembrane protein 176A,235,26116,Membrane,Low,3090.3557469068696
8903,TMEM176B,Q3YBM2,Transmembrane protein 176B,270,29056,Nucleus membrane,Low,1096.2437480124333
8904,TMEM177,Q53S58,Transmembrane protein 177,311,33760,Mitochondrion inner membrane,Medium,
8905,TMEM178A,Q8NBL3,Transmembrane protein 178A,297,33019,Endoplasmic reticulum membrane,Low  ,
8906,TMEM178B,H3BS89,Transmembrane protein 178B,294,33409,Membrane,Low  ,1032.9510770216366
8907,TMEM179,Q6ZVK1,Transmembrane protein 179,233,26378,Membrane,Medium,
8908,TMEM179B,Q7Z7N9,Transmembrane protein 179B,219,23550,Membrane,Low  ,
8909,TMEM18,Q96B42,Transmembrane protein 18,140,16265,Cytoplasm; Nucleus membrane,Very Low,
8910,TMEM181,Q9P2C4,Transmembrane protein 181,612,69325,Membrane,Medium,
8911,TMEM184B,Q9Y519,Transmembrane protein 184B,407,45562,Membrane,Low  ,
8912,TMEM184C,Q9NVA4,Transmembrane protein 184C,438,50142,Membrane,Low  ,1257.1485603482283
8913,TMEM185B,Q9H7F4,Transmembrane protein 185B,350,40599,Membrane,Very Low,
8914,TMEM186,Q96B77,Transmembrane protein 186,213,24893,Mitochondrion inner membrane,High,
8915,TMEM19,Q96HH6,Transmembrane protein 19,336,36392,Membrane,Medium,
8916,TMEM192,Q8IY95,Transmembrane protein 192,271,30922,Lysosome membrane; Late endosome,Medium,8579.668617330695
8917,TMEM198,Q66K66,Transmembrane protein 198,360,39475,Membrane; Cell membrane; Cytoplasmic vesicle,High,
8918,TMEM199,Q8N511,Transmembrane protein 199,208,23130,"Cytoplasmic vesicle, COPI-coated vesicle membrane; Endoplasmic reticulum-Golgi intermediate compartment membrane; Endoplasmic reticulum membrane",Low,5910.547481219827
8919,TMEM200A,Q86VY9,Transmembrane protein 200A,491,54356,Membrane,Medium,
8920,TMEM200C,A6NKL6,Transmembrane protein 200C,621,63928,Membrane,Low  ,
8921,TMEM201,Q5SNT2,Transmembrane protein 201,666,72236,"[Isoform 2]: Nucleus inner membrane; Cytoplasm, cytoskeleton, spindle pole",Low,6731.124990364089
8922,TMEM205,Q6UW68,Transmembrane protein 205,189,21198,Membrane,Medium,29159.81533658273
8923,TMEM208,Q9BTX3,Transmembrane protein 208,173,19642,Endoplasmic reticulum membrane,Very Low,
8924,TMEM209,Q96SK2,Transmembrane protein 209,561,62922,Membrane,Very Low,595.6889233443584
8925,TMEM214,Q6NUQ4,Transmembrane protein 214,689,77151,Endoplasmic reticulum membrane,Medium,11079.830425740658
8926,TMEM219,Q86XT9,Insulin-like growth factor-binding protein 3 receptor,240,25724,Cell membrane,Medium,
8927,TMEM222,Q9H0R3,Transmembrane protein 222,208,23230,"Membrane; Cell projection, dendrite",Low,2328.2983472261267
8928,TMEM223,A0PJW6,Transmembrane protein 223,202,22049,Mitochondrion inner membrane,Medium,
8929,TMEM230,Q96A57,Transmembrane protein 230,120,13188,"Membrane; Golgi apparatus, trans-Golgi network; Cytoplasmic vesicle, secretory vesicle, synaptic vesicle; Early endosome; Recycling endosome; Late endosome; Cytoplasmic vesicle, autophagosome",Low  ,
8930,TMEM231,Q9H6L2,Transmembrane protein 231,316,36059,"Cell projection, cilium membrane",Very Low,657.0819325123276
8931,TMEM237,Q96Q45,Transmembrane protein 237,408,45526,"Membrane; Cell projection, cilium",Very Low,
8932,TMEM245,Q9H330,Transmembrane protein 245,879,97357,Membrane,Low,6244.9589141681045
8933,TMEM254,Q8TBM7,Transmembrane protein 254,123,14243,Membrane,Medium,
8934,TMEM255A,Q5JRV8,Transmembrane protein 255A,349,38449,Membrane,Low  ,
8935,TMEM256,Q8N2U0,Transmembrane protein 256,113,11742,Membrane,Medium,20031.893220207676
8936,TMEM258,P61165,Transmembrane protein 258,79,9079,Membrane; Endoplasmic reticulum; Cytoplasm,High,
8937,TMEM259,Q4ZIN3,Membralin,620,67889,Endoplasmic reticulum membrane,Very Low,698.0894405505787
8938,TMEM260,Q9NX78,Transmembrane protein 260,707,79536,Membrane.;[Isoform 1]: Membrane.;[Isoform 3]: Membrane,Medium,
8939,TMEM263,Q8WUH6,Transmembrane protein 263,116,11748,Membrane,High,
8940,TMEM267,Q0VDI3,Transmembrane protein 267,215,24217,Membrane,Very Low,
8941,TMEM268,Q5VZI3,Transmembrane protein 268,342,37569,Membrane,Medium,
8942,TMEM30A,Q9NV96,Cell cycle control protein 50A,361,40684,"Membrane; Cell membrane; Golgi apparatus; Cytoplasmic vesicle, secretory vesicle membrane; Apical cell membrane",High,56168.17347256987
8943,TMEM33,P57088,Transmembrane protein 33,247,27978,Endoplasmic reticulum membrane; Melanosome; Nucleus envelope,High,93158.63074157441
8944,TMEM35A,Q53FP2,Novel acetylcholine receptor chaperone,167,18440,Peroxisome membrane; Cytoplasmic vesicle; Endoplasmic reticulum membrane,Medium,27923.32716316463
8945,TMEM38A,Q9H6F2,Trimeric intracellular cation channel type A,299,33260,Sarcoplasmic reticulum membrane; Nucleus membrane,Very Low,
8946,TMEM38B,Q9NVV0,Trimeric intracellular cation channel type B,291,32510,Endoplasmic reticulum membrane,Medium,
8947,TMEM39B,Q9GZU3,Transmembrane protein 39B,492,56274,Endoplasmic reticulum membrane,Low  ,
8948,TMEM41A,Q96HV5,Transmembrane protein 41A,264,29665,Membrane,Low,2402.5705116276645
8949,TMEM41B,Q5BJD5,Transmembrane protein 41B,291,32513,Endoplasmic reticulum membrane; Endomembrane system.;Cytoplasm,Low,6948.788902106264
8950,TMEM43,Q9BTV4,Transmembrane protein 43,400,44876,Endoplasmic reticulum membrane; Nucleus inner membrane; Multi-pass membrane protein; Cell membrane,High,68695.66569557061
8951,TMEM44,Q2T9K0,Transmembrane protein 44,475,52201,Membrane,Low  ,
8952,TMEM47,Q9BQJ4,Transmembrane protein 47,181,19998,"Membrane; Cell junction, adherens junction",Low  ,
8953,TMEM50A,O95807,Transmembrane protein 50A (Small membrane protein 1),157,17400,Membrane,Low,1681.8407207137632
8954,TMEM50B,P56557,Transmembrane protein 50B,158,17936,Endoplasmic reticulum membrane; Golgi apparatus membrane,Low,1346.958021476679
8955,TMEM53,Q6P2H8,Transmembrane protein 53,277,31630,Nucleus outer membrane,Low  ,
8956,TMEM59,Q9BXS4,Transmembrane protein 59,323,36223,Late endosome membrane; Lysosome membrane; Cell membrane; Golgi apparatus membrane,Low  ,
