,GeneID,UniProtID,Protein Description,Protein Length (#AA),Protein Mass (Da),Subcellular Location ,Abundance Level,Average Protein Copy Number
8384,SSR3,Q9UNL2,Translocon-associated protein subunit gamma,185,21080,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein.,Medium,18996.09294553445
8385,SSR4,P51571,Translocon-associated protein subunit delta,173,18999,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type I membrane protein.,High,74571.25061911464
8386,SSRP1,Q08945,FACT complex subunit SSRP1,709,81075,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10421373, ECO:0000269|PubMed:22002106}. Nucleus, nucleolus {ECO:0000269|PubMed:22002106}. Chromosome {ECO:0000269|PubMed:10421373}. Note=Colocalizes with RNA polymerase II on chromatin. Recruited to actively transcribed loci. {ECO:0000250|UniProtKB:Q05344}.",High,102420.68493707891
8387,SST,P61278,Somatostatin (Growth hormone release-inhibiting factor) [Cleaved into: Somatostatin-28; Somatostatin-14 (SST-14); Neuronostatin (NST)],116,12736,SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P60042}.,Medium,15939.322777142574
8388,SSU72,Q9NP77,R polymerase II subunit A C-termil domain phosphatase SSU72,194,22574,SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Predominantly in the cytosol.,Medium,22613.787008896015
8389,ST13,P50502,Hsc70-interacting protein,369,41332,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,High,584656.4479518052
8390,ST18,O60284,Suppression of tumorigenicity 18 protein (Zinc finger protein 387),1047,115155,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15489893}.,Low  ,
8391,ST3GAL1,Q11201,"CMP-N-acetylneuramite-beta-galactosamide-alpha-2,3-sialyltransferase 1",340,39075,"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:9182658}; Single-pass type II membrane protein {ECO:0000255}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:9182658}; Single-pass type II membrane protein {ECO:0000255}. Secreted. Note=Membrane-bound form in medial and trans cisternae of Golgi (PubMed:9182658). Secreted into the body fluid. {ECO:0000269|PubMed:9182658}.",Low  ,
8392,ST3GAL2,Q16842,"CMP-N-acetylneuramite-beta-galactosamide-alpha-2,3-sialyltransferase 2",350,40173,"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:25916169}; Single-pass type II membrane protein {ECO:0000255}. Secreted {ECO:0000250}. Note=Membrane-bound form distributed along the Golgi cisternae, mainly in proximal compartments (PubMed:25916169). Secreted into the body fluid. {ECO:0000250, ECO:0000269|PubMed:25916169}.",Medium,
8393,ST3GAL3,Q11203,"CMP-N-acetylneuramite-beta-1,4-galactoside alpha-2,3-sialyltransferase",375,42171,"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein. Secreted. Note=Membrane-bound form in trans cisternae of Golgi. Secreted into the body fluid.",Very low,
8394,ST3GAL5,Q9UNP4,"Lactosylceramide alpha-2,3-sialyltransferase",418,47990,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Medium,
8395,ST3GAL6,Q9Y274,"Type 2 lactosamine alpha-2,3-sialyltransferase",331,38214,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Medium,
8396,ST6GAL1,P15907,"Beta-galactoside alpha-2,6-sialyltransferase 1",406,46605,"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:20378551}; Single-pass type II membrane protein {ECO:0000305}. Secreted. Note=Membrane-bound form in trans cisternae of Golgi. Secreted into the body fluid.",High,
8397,ST6GAL2,Q96JF0,"Beta-galactoside alpha-2,6-sialyltransferase 2",529,60158,"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",Low  ,
8398,ST6GALNAC3,Q8NDV1,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",305,35395,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Low  ,
8399,ST6GALNAC5,Q9BVH7,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",336,38443,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.,Low  ,
8400,ST7,Q9NRC1,Suppressor of tumorigenicity 7 protein,585,67166,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,High,
8401,ST8SIA1,Q92185,"Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase",356,40519,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Low  ,759.0921832364434
8402,ST8SIA2,Q92186,"Alpha-2,8-sialyltransferase 8B",375,42430,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Medium,
8403,ST8SIA3,O43173,"Sia-alpha-2,3-Gal-beta-1,4-Glcc-R:alpha 2,8-sialyltransferase",380,43970,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Low,1516.1310430169572
8404,ST8SIA4,Q92187,"CMP-N-acetylneuramite-poly-alpha-2,8-sialyltransferase",359,41295,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Very low,
8405,STAC,Q99469,SH3 and cysteine-rich domain-containing protein,402,44554,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P97306}. Cell membrane {ECO:0000250|UniProtKB:P97306}; Peripheral membrane protein {ECO:0000250|UniProtKB:P97306}; Cytoplasmic side {ECO:0000250|UniProtKB:P97306}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P97306}; Peripheral membrane protein {ECO:0000250|UniProtKB:P97306}; Cytoplasmic side {ECO:0000250|UniProtKB:P97306}.",Medium,
8406,STAG1,Q8WVM7,Cohesin subunit SA-1,1258,144427,"SUBCELLULAR LOCATION: Nucleus. Chromosome. Chromosome, centromere. Note=Associates with chromatin. Before prophase it is scattered along chromosome arms. During prophase, most of cohesin complexes dissociate from chromatin probably because of phosphorylation by PLK1, except at centromeres, where cohesin complexes remain. At anaphase, the RAD21 subunit of cohesin is cleaved, leading to the dissociation of the complex from chromosomes, allowing chromosome separation.",Low,1862.0368508440397
8407,STAG2,Q8N3U4,Cohesin subunit SA-2,1231,141326,"SUBCELLULAR LOCATION: Nucleus. Chromosome. Chromosome, centromere. Note=Associates with chromatin. Before prophase it is scattered along chromosome arms. During prophase, most of cohesin complexes dissociate from chromatin probably because of phosphorylation by PLK1, except at centromeres, where cohesin complexes remain. At anaphase, the RAD21 subunit of cohesin is cleaved, leading to the dissociation of the complex from chromosomes, allowing chromosome separation. In germ cells, cohesin complex dissociates from chromatin at prophase I, and may be replaced by a meiosis-specific cohesin complex.",High,
8408,STAM,Q92783,Sigl transducing adapter molecule 1,540,59180,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Early endosome membrane {ECO:0000269|PubMed:23166352, ECO:0000269|PubMed:24790097}; Peripheral membrane protein {ECO:0000305|PubMed:23166352, ECO:0000305|PubMed:24790097}; Cytoplasmic side {ECO:0000305|PubMed:23166352, ECO:0000305|PubMed:24790097}.",Medium,39032.61481450341
8409,STAM2,O75886,Sigl transducing adapter molecule 2,525,58164,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Early endosome membrane {ECO:0000269|PubMed:12551915}; Peripheral membrane protein {ECO:0000269|PubMed:12551915}; Cytoplasmic side {ECO:0000269|PubMed:12551915}.,Low,3866.3078412229584
8410,STAMBP,O95630,STAM-binding protein,424,48077,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17261583, ECO:0000305|PubMed:10383417}. Membrane {ECO:0000269|PubMed:17261583}; Peripheral membrane protein {ECO:0000269|PubMed:17261583}. Cytoplasm {ECO:0000269|PubMed:17261583}. Early endosome {ECO:0000269|PubMed:15314065, ECO:0000269|PubMed:17261583}.",Low,7575.5244660081535
8411,STAMBPL1,Q96FJ0,AMSH-like protease,436,49783,,Medium,
8412,STAR,P49675,"Steroidogenic acute regulatory protein, mitochondrial",285,31914,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P51557}.,Low  ,
8413,STARD10,Q9Y365,START domain-containing protein 10,291,33049,"SUBCELLULAR LOCATION: Cell projection, cilium, flagellum {ECO:0000250}. Cytoplasm {ECO:0000269|PubMed:17561512}. Membrane {ECO:0000269|PubMed:17561512}. Note=In testis was predominantly detected at the flagella of elongated spermatids, with a strong signal also found at the tail of epididymal sperm (By similarity). Mainly cytosolic. {ECO:0000250}.",Low,2735.3904948789786
8414,STARD13,Q9Y3M8,StAR-related lipid transfer protein 13,1113,124967,SUBCELLULAR LOCATION: Cytoplasm. Membrane; Peripheral membrane protein; Cytoplasmic side. Mitochondrion membrane; Peripheral membrane protein; Cytoplasmic side. Lipid droplet.,Very low,
8415,STARD3,Q14849,StAR-related lipid transfer protein 3,445,50502,"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:11053434, ECO:0000269|PubMed:16709157, ECO:0000269|PubMed:24105263, ECO:0000269|PubMed:28377464, ECO:0000269|PubMed:29858488}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to contact sites between the endoplasmic reticulum and late endosomes: associates with the endoplasmic reticulum membrane via interaction with VAPA, VAPB or MOSPD2. {ECO:0000269|PubMed:24105263, ECO:0000269|PubMed:29858488}.",Medium,
8416,STARD3NL,O95772,STARD3 N-termil-like protein,234,26655,"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:24105263, ECO:0000269|PubMed:29858488}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to contact sites between the endoplasmic reticulum and late endosomes: associates with the endoplasmic reticulum membrane via interaction with VAPA, VAPB or MOSPD2. {ECO:0000269|PubMed:24105263}.",Medium,33239.81080907893
8417,STARD7,Q9NQZ5,"StAR-related lipid transfer protein 7, mitochondrial",370,43113,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.,Low  ,1434.1426392910196
8418,STAT1,P42224,Sigl transducer and activator of transcription 1-alpha/beta,750,87335,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15322115, ECO:0000269|PubMed:26479788, ECO:0000269|PubMed:27796300, ECO:0000269|PubMed:28753426}. Nucleus {ECO:0000269|PubMed:15322115, ECO:0000269|PubMed:26479788, ECO:0000269|PubMed:28753426}. Note=Translocated into the nucleus upon tyrosine phosphorylation and dimerization, in response to IFN-gamma and signaling by activated FGFR1, FGFR2, FGFR3 or FGFR4 (PubMed:15322115). Monomethylation at Lys-525 is required for phosphorylation at Tyr-701 and translocation into the nucleus (PubMed:28753426). Translocates into the nucleus in response to interferon-beta stimulation (PubMed:26479788). {ECO:0000269|PubMed:15322115, ECO:0000269|PubMed:26479788, ECO:0000269|PubMed:28753426}.",Low,7226.222777490438
8419,STAT2,P52630,Sigl transducer and activator of transcription 2,851,97916,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11150296, ECO:0000269|PubMed:23139419, ECO:0000269|PubMed:27782195}. Nucleus {ECO:0000269|PubMed:11150296, ECO:0000269|PubMed:23139419}. Note=Translocated into the nucleus upon activation by IFN-alpha/beta. {ECO:0000269|PubMed:11150296, ECO:0000269|PubMed:23139419}.",Very low,581.0678150045976
8420,STAT3,P40763,Sigl transducer and activator of transcription 3,770,88068,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:28065600, ECO:0000269|PubMed:31899195}. Nucleus {ECO:0000269|PubMed:28065600, ECO:0000269|PubMed:31899195}. Note=Shuttles between the nucleus and the cytoplasm. Translocated into the nucleus upon tyrosine phosphorylation and dimerization, in response to signaling by activated FGFR1, FGFR2, FGFR3 or FGFR4. Constitutive nuclear presence is independent of tyrosine phosphorylation. Predominantly present in the cytoplasm without stimuli. Upon leukemia inhibitory factor (LIF) stimulation, accumulates in the nucleus. The complex composed of BART and ARL2 plays an important role in the nuclear translocation and retention of STAT3. Identified in a complex with LYN and PAG1.",Low  ,1217.5174400960423
8421,STAT5A,P42229,Sigl transducer and activator of transcription 5A,794,90647,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15534001}. Nucleus {ECO:0000269|PubMed:15534001}. Note=Translocated into the nucleus in response to phosphorylation.,High,
8422,STAT5B,P51692,Sigl transducer and activator of transcription 5B,787,89866,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:29844444}. Nucleus {ECO:0000269|PubMed:29844444}. Note=Translocated into the nucleus in response to phosphorylation. {ECO:0000269|PubMed:29844444}.,Low,2466.7029328248627
8423,STAT6,P42226,Sigl transducer and activator of transcription 6,847,94135,SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Translocated into the nucleus in response to phosphorylation.,Low  ,
8424,STAU1,O95793,Double-stranded R-binding protein Staufen homolog 1,577,63182,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19029303}. Rough endoplasmic reticulum {ECO:0000269|PubMed:19029303}. Note=Localizes exclusively with the rough reticulum endoplasmic (RER).,High,52500.0983811659
8425,STAU2,Q9NUL3,Double-stranded R-binding protein Staufen homolog 2,570,62608,"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Nucleus, nucleolus. Endoplasmic reticulum. Note=Shuttles between the nucleolus, nucleus and the cytoplasm. Nuclear export of isoform 1 is independent of XPO1/CRM1 and requires the exportin XPO5. Nuclear export of isoform 2 and isoform 3 can occur by both XPO1/CRM1-dependent and XPO1/CRM1-independent pathways. Found in large cytoplasmic ribonucleoprotein (RNP) granules which are present in the actin rich regions of myelinating processes and associated with microtubules, polysomes and the endoplasmic reticulum. Also recruited to stress granules (SGs) upon inhibition of translation or oxidative stress. These structures are thought to harbor housekeeping mRNAs when translation is aborted (By similarity). {ECO:0000250}.",Medium,31992.837344869764
8426,STC2,O76061,Stanniocalcin-2 (STC-2) (Stanniocalcin-related protein) (STC-related protein) (STCRP),302,33249,SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,Very low,
8427,STEAP3,Q658P3,Metalloreductase STEAP3,488,54601,SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Localizes to vesicular-like structures at the plasma membrane and around the nucleus.,Low  ,
8428,STEEP1,Q9H5V9,STING ER exit protein,222,25625,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29374277, ECO:0000269|PubMed:32690950}. Cytoplasm {ECO:0000269|PubMed:32690950}. Note=Detected in the nucleus and cell soma of various neuronal types. {ECO:0000250|UniProtKB:Q8VDP2}.",High,
8429,STIM1,Q13586,Stromal interaction molecule 1,685,77423,"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000269|PubMed:11004585, ECO:0000269|PubMed:16005298, ECO:0000269|PubMed:16208375, ECO:0000269|PubMed:18854159, ECO:0000269|PubMed:19249086, ECO:0000269|PubMed:27185316, ECO:0000269|PubMed:28219928}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000269|PubMed:16005298, ECO:0000269|PubMed:16208375, ECO:0000269|PubMed:18854159, ECO:0000269|PubMed:19249086, ECO:0000269|PubMed:26322679, ECO:0000269|PubMed:27185316}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19632184}. Sarcoplasmic reticulum {ECO:0000269|PubMed:25326555}. Note=Translocates from the endoplasmic reticulum to the cell membrane in response to a depletion of intracellular calcium and is detected at punctae corresponding to junctions between the endoplasmic reticulum and the cell membrane (PubMed:19249086, PubMed:16005298, PubMed:16208375, PubMed:18854159). Associated with the microtubule network at the growing distal tip of microtubules (PubMed:19632184). Colocalizes with ORAI1 at the cell membrane (PubMed:27185316). Colocalizes preferentially with CASQ1 at endoplasmic reticulum in response to a depletion of intracellular calcium (PubMed:27185316). {ECO:0000269|PubMed:16005298, ECO:0000269|PubMed:16208375, ECO:0000269|PubMed:18854159, ECO:0000269|PubMed:19249086, ECO:0000269|PubMed:19632184, ECO:0000269|PubMed:27185316}.",Low,2987.4544178320634
8430,STIM2,Q9P246,Stromal interaction molecule 2,746,83971,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:16860747, ECO:0000269|PubMed:17905723, ECO:0000269|PubMed:18160041}; Single-pass type I membrane protein {ECO:0000269|PubMed:16860747, ECO:0000269|PubMed:17905723, ECO:0000269|PubMed:18160041}. Note=Dynamically translocates from a uniform endoplasmic reticulum distribution to punctual endoplasmic reticulum-plasma membrane junctions in response to decrease in endoplasmic reticulum Ca(2+) concentration.",Medium,
8431,STIMATE,Q86TL2,Store-operated calcium entry regulator STIMATE,294,33187,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:26322679, ECO:0000269|PubMed:26644574}; Multi-pass membrane protein {ECO:0000269|PubMed:26322679, ECO:0000269|PubMed:26644574}. Note=Colocalizes with STIM1 at ER-plasma membrane (ER-PM) junctions, also called cortical endoplasmic reticulum (ER), in store-depleted calcium cells (PubMed:26644574). May translocate to ER-PM junctions in a STIM1-dependent manner in store-depleted cells (Probable). {ECO:0000269|PubMed:26644574, ECO:0000305|PubMed:26322679}.",Medium,
8432,STIP1,P31948,Stress-induced-phosphoprotein 1,543,62639,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q60864}. Nucleus {ECO:0000250|UniProtKB:Q60864}. Dynein axonemal particle {ECO:0000250|UniProtKB:Q7ZWU1}.,High,776766.9872953049
8433,STK10,O94804,Serine/threonine-protein kise 10,968,112135,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19255442}; Peripheral membrane protein {ECO:0000269|PubMed:19255442}.,Low  ,
8434,STK11,Q15831,Serine/threonine-protein kise STK11,433,48636,"SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Membrane {ECO:0000250}. Mitochondrion. Note=A small fraction localizes at membranes (By similarity). Relocates to the cytoplasm when bound to STRAD (STRADA or STRADB) and CAB39/MO25 (CAB39/MO25alpha or CAB39L/MO25beta). Translocates to the mitochondrion during apoptosis. PTEN promotes cytoplasmic localization. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000269|PubMed:23612973}. Cytoplasm {ECO:0000269|PubMed:23612973}. Note=Predominantly nuclear, but translocates to the cytoplasm in response to metformin or peroxynitrite treatment.",Medium,
8435,STK11IP,Q8N1F8,Serine/threonine-protein kise 11-interacting protein,1088,120259,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11741830}. Note=Some cells show granular or punctuate expression. Colocalizes with STK11/LKB1 and SMAD4 in granular or punctuate structures.,High,
8436,STK17A,Q9UEE5,Serine/threonine-protein kinase 17A (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 1),414,46558,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9786912}.,Low  ,
8437,STK19,P49842,Serine/threonine-protein kise 19,368,40916,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9812991}.,Medium,
8438,STK24,Q9Y6E0,Serine/threonine-protein kise 24,443,49308,SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Membrane. Note=The truncated form (MST3/N) translocates to the nucleus. Colocalizes with STK38L in the membrane.,Medium,13981.385470556912
8439,STK25,O00506,Serine/threonine-protein kise 25,426,48112,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15037601}. Golgi apparatus {ECO:0000269|PubMed:15037601}. Note=Localizes to the Golgi apparatus.,Low,9610.481635661139
8440,STK26,Q9P289,Serine/threonine-protein kise 26,416,46529,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17360971, ECO:0000269|PubMed:27807006}. Golgi apparatus {ECO:0000269|PubMed:15037601, ECO:0000269|PubMed:27807006}. Note=Colocalized with RIPOR1 in the Golgi of serum-starved cells and relocated to cytoplasmic punctae, probably vesicular compartments, along with RIPOR1 upon serum stimulation in a Rho- and PDCD10-dependent manner (PubMed:27807006). {ECO:0000269|PubMed:27807006}.",Low,7274.494835952672
8441,STK3,Q13188,Serine/threonine-protein kise 3,491,56301,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21145499}. Nucleus {ECO:0000269|PubMed:21145499}. Note=The caspase-cleaved form cycles between nucleus and cytoplasm (PubMed:19525978, PubMed:11278283). Phosphorylation at Thr-117 leads to inhibition of nuclear translocation (PubMed:19525978). {ECO:0000269|PubMed:11278283, ECO:0000269|PubMed:19525978}.",Low  ,
8442,STK32A,Q8WU08,Serine/threonine-protein kise 32A,396,46369,SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor {ECO:0000269|PubMed:25043870}.,Medium,
8443,STK32C,Q86UX6,Serine/threonine-protein kise 32C,486,54994,,Medium,12017.178184408083
8444,STK33,Q9BYT3,Serine/threonine-protein kise 33,514,57831,"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250}.",Low  ,1137.680416319159
8445,STK35,Q8TDR2,Serine/threonine-protein kise 35,534,58051,"SUBCELLULAR LOCATION: Nucleus. Nucleus, nucleolus. Cytoplasm. Note=When associated with PDLIM1, it is mostly found in cytoplasm, localized to actin stress fibers (PubMed:11973348). However, PubMed:19756140 detected STK35 only in the nucleus, and the presence of PDLIM1 had no influence on its location. {ECO:0000269|PubMed:11973348}.",Medium,
8446,STK38,Q15208,Serine/threonine-protein kise 38,465,54190,SUBCELLULAR LOCATION: Nucleus. Cytoplasm.,Low,4503.7963451183405
8447,STK38L,Q9Y2H1,Serine/threonine-protein kise 38-like,464,54003,"SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton. Membrane. Note=Associated with the actin cytoskeleton. Co-localizes with STK24/MST3 in the membrane.",Very low,359.5270736811309
8448,STK39,Q9UEW8,STE20/SPS1-related proline-alanine-rich protein kise,545,59474,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Nucleus {ECO:0000305}. Note=Nucleus when caspase-cleaved. {ECO:0000305}.,High,49535.37122560013
8449,STK4,Q13043,Serine/threonine-protein kise 4,487,55630,SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=The caspase-cleaved form cycles between the nucleus and cytoplasm.,Medium,9608.090060149023
8450,STMN1,P16949,Stathmin,149,17303,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",High,7897308.798463133
8451,STMN2,Q93045,Stathmin-2,179,20828,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Cell projection, growth cone. Membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cell projection, axon. Golgi apparatus. Endosome {ECO:0000250}. Cell projection, lamellipodium. Note=Associated with punctate structures in the perinuclear cytoplasm, axons, and growth cones of developing neurons. SCG10 exists in both soluble and membrane-bound forms. Colocalized with CIB1 in neurites of developing hippocampal primary neurons (By similarity). Colocalized with CIB1 in the cell body, neuritis and growth cones of neurons. Colocalized with CIB1 to the leading edge of lamellipodia. {ECO:0000250}.",High,2268277.564104055
8452,STMN3,Q9NZ72,Stathmin-3,180,21017,"SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:21471001}. Cell projection, growth cone {ECO:0000269|PubMed:21471001}. Cell projection, axon {ECO:0000269|PubMed:21471001}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JHU6}.",High,48889.8304337186
8453,STMN4,Q9H169,Stathmin-4,189,22071,"SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Cell projection, axon {ECO:0000250}.",Low,5226.331241024324
8454,STN1,Q9H668,CST complex subunit STN1,368,42119,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19854130}. Chromosome, telomere {ECO:0000269|PubMed:19648609, ECO:0000269|PubMed:19854130, ECO:0000269|PubMed:22763445}.",Medium,
8455,STOM,P27105,Stomatin,288,31731,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9243190}; Peripheral membrane protein {ECO:0000269|PubMed:9243190}; Cytoplasmic side {ECO:0000269|PubMed:9243190}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9243190}. Cell membrane {ECO:0000269|PubMed:12130500}; Lipid-anchor {ECO:0000269|PubMed:12130500}; Cytoplasmic side {ECO:0000269|PubMed:12130500}. Membrane raft {ECO:0000269|PubMed:12130500, ECO:0000269|PubMed:23219802}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:P54116}. Note=Localizes to juxtanuclear structure probably derived from the Golgi apparatus (PubMed:9243190). Colocalizes with cortical actin microfilaments at small plasma membrane protrusions (PubMed:9243190). Associates with alpha-granular lipid rafts (PubMed:12130500). Translocates from the alpha-granular lipid rafts to the cell membrane on thrombin activation and selectively enriched in released microvesicles (PubMed:12130500). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:12643545). {ECO:0000269|PubMed:12130500, ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:9243190}.",Medium,
8456,STOML1,Q9UBI4,Stomatin-like protein 1,398,42968,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type III membrane protein {ECO:0000305}. Late endosome membrane {ECO:0000269|PubMed:19696025}. Membrane raft {ECO:0000269|PubMed:19696025}. Cell membrane {ECO:0000250|UniProtKB:Q8CI66}; Single-pass type III membrane protein. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q8CI66}.,Medium,
8457,STOML2,Q9UJZ1,"Stomatin-like protein 2, mitochondrial",356,38534,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10713127, ECO:0000269|PubMed:18641330, ECO:0000269|PubMed:21746876, ECO:0000269|PubMed:22623988}; Peripheral membrane protein {ECO:0000269|PubMed:10713127}. Mitochondrion {ECO:0000269|PubMed:18641330, ECO:0000269|PubMed:19597348, ECO:0000269|PubMed:22623988}. Mitochondrion inner membrane {ECO:0000269|PubMed:17121834, ECO:0000269|PubMed:18339324, ECO:0000269|PubMed:21746876}; Lipid-anchor {ECO:0000269|PubMed:21746876}. Mitochondrion intermembrane space {ECO:0000269|PubMed:17121834}. Membrane raft {ECO:0000269|PubMed:18641330}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10713127, ECO:0000269|PubMed:18641330}. Note=Behaves as an integral membrane protein of the mitochondrion despite the absence of a detectable transmembrane domain (PubMed:21746876). Also associates with the actin cytoskeleton and membrane rafts in activated T-cells (PubMed:18641330, PubMed:10713127). A minor pool is associated with the plasma membrane and is enriched at the immunological synapse in activated T-cells (PubMed:22623988). {ECO:0000269|PubMed:10713127, ECO:0000269|PubMed:18641330, ECO:0000269|PubMed:21746876, ECO:0000269|PubMed:22623988}.",High,359679.1076517368
8458,STON2,Q8WXE9,Stonin-2,905,101165,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11381094}. Membrane {ECO:0000269|PubMed:11381094}. Synapse, synaptosome {ECO:0000250}. Note=Some fraction is membrane-associated.",Low,1338.6030432889947
